HCO3	SO4	Cl	Ca	Mg	Na	Sigle	Pays	Nature
410	293	8	144	66	14	Rom	A	plat
256	224	19	115	39	13	Voa	A	plat
110	65	5	4	1	3	Spa	B	plat
NA	5.0	4.5	5	9	10	Kam	CA	plat
354	16	22	112	3	NA	Cub	CU	plat
367	7	35	12	73	21	Lou	CY	plat
304	13	21	47	32	18	Nic	CY	plat
135	24	19	27	15	18	Via	CY	plat
78	8	14	14	7	12	Aqu	DK	plat
168	24	8	55	5	9	Rib	E	plat
196	18	6	58	6	13	Ver	E	plat
59	7	6	16	2	9	Vil	E	plat
160	19	7	50	6	5	Abb	F	plat
341	27	3	84	23	2	Aix	F	plat
312	372	NA	176	46	28	Ama	F	plat
263	23	9	91	5	3	Bec	F	plat
287	3	5	44	24	23	Cay	F	plat
1200	8	20	180	50	250	Ces	F	plat
298	9	23	96	6	11	Cha	F	plat
151	3	5	45	3	5	Che	F	plat
13	1	1	3	1	2	Cht	F	plat
386	1058	6	451	66	8	Con	F	plat
200	15	8	70	2	4	Cri	F	plat
250	5	20	71	6	11	Cyr	F	plat
173	51	1	63	10	1	Ecr	F	plat
357	10	2	78	24	5	Evi	F	plat
360	47	28	89	31	17	Fie	F	plat
403	1479	NA	555	110	NA	Hep	F	plat
256	6	23	86	3	18	Hip	F	plat
186	10	16	64	4	9	Lau	F	plat
78	8	2	27	1	1	Luc	F	plat
219	39	28	68	11	21	Mar	F	plat
5	9	1	3	1	2	Mon	F	plat
183	16	44	48	11	31	Oge	F	plat
398	218	15	157	35	8	Ond	F	plat
731	12	8	200	20	6	Ore	F	plat
223	NA	19	65	5	20	Par	F	plat
348	51	31	140	4	14	Per	F	plat
630	3.0	3.0	1.7	0.5	3.1	Rou	F 	plat
332	14	8	103	16	5	Tho	F	plat
329	1342	9	528	78	9	Ton	F	plat
280	620	58	230	66	40	Vau	F	plat
402	306	15	202	36	3	Vit	F	plat
64	7	8	10	6	8	Vol	F	plat
135	24	NA	35	11	3	Wat	F	plat
68	5	15	11	5	15	Zil	F	plat
367	7	35	12	73	21	Lot	GR	plat
329	110	NA	80	40	18	Dus	H	plat
487	144	NA	144	34	32	Ker	H	plat
416	6	4	86	27	12	Drz	HR	plat
354	7	2	63	34	2	Jan	HR	plat
43	8	1	13	3	2	Ali	I	plat
429	NA	18	157	8	14	Ame	I	plat
29	8	NA	12	NA	1	Ann	I	plat
133	2	1	34	5	4	Ant	I	plat
30	3	1	10	1	1	Ber	I	plat
176	1420	1	533	66	1	Cou	I	plat
88	20.1	0.9	23.7	8	1.4	Dol	I	plat
361	28	26	134	5	14	Fab	I	plat
311	14	18	73	18	13	Fer	I	plat
401	42	24	137	7	20	Gem	I	plat
113	NA	86	29	16	45	Gio	I	plat
281	26	20	93	4	19	Goc	I	plat
31	1.4	0.4	1	0.3	NA	Lar	I	plat
59	14	NA	21	2	2	Lei	I	plat
74	NA	73	15	14	39	Lev	I	plat
154	21	1	35	15	1	Lor	I	plat
139	27	7	33	10	14	Mtv	I	plat
16	5	26	4	2	16	Nap	I	plat
213	3	16	35	4	32	Nat	I	plat
108	21	9	34	7	63	Pam	I	plat
100	21	7	30	7	7	Pa1	I	plat
106	21	9	33	7	6	Pa2	I	plat
476	NA	9	140	12	4	Pra	I	plat
161	24	1	37	16	1	Rec	I	plat
78	8	8	57	3	5	Roc	I	plat
293	5	3	46	30	7	Sb1	I	plat
293	17	2	45	30	7	Sb2	I	plat
378	67	4	107	27	6	Sca	I	plat
90	7	10	15	5	13	Tio	I	plat
NA	5	0.26	NA	2.7	1.35	Vam	I	plat
150	18	3	36	13	2	Vea	I	plat
NA	NA	65	35	NA	15	Ma1	MA	plat
36	26	7	3	NA	15	Car	P	plat
5	14	7	1	3	2	Das	QU	plat
245	27	2	45	25	7	Nay	QU	plat
133	7	NA	32	8	45	Hig	SC	plat
103	11	6	27	7	7	Sai	SC	plat
NA	0	7	27	5	NA	Ays	TK	plat
NA	14	9	26	6	NA	Oru	TK	plat
207	10	28	68	6	10	Sos	TU	plat
244	24	64	80	10	37	Tun	TU	plat
NA	6	7	36	9	7	Sal	UR	plat
105	6.5	4.5	1.6	0.1	55	Vik	VN	plat
2147	48	610	50	8	1136	Cat	E	gaz
1700	NA	NA	272	102	180	Bad	F	gaz
2975	20	7	383	49	240	Chd	F	gaz
1567	45	27	49	26	482	Man	F	gaz
1850	180	180	16	4	62	Rio	F	gaz
1837	230	649	301	160	493	Roz	F	gaz
812	59	230	71	40	302	SMa	F	gaz
1403	39	27	45	21	453	Val	F	gaz
4263	182	329	78	9	1744	Yor	F	gaz
2150	210	51	169	138	405	Fon	H	gaz
540	333	133	186	48	129	Har	H	gaz
1150	NA	NA	246	56	36	Kek	H	gaz
2352	112	251	105	34	900	Jam	HR	gaz
1159	8	18	304	17	47	Cas	I	gaz
339	11	16	107	7	9	Cin	I	gaz
2206	281	298	180	56	780	Mat	I	gaz
1360	NA	NA	NA	60	290	San	I	gaz
311	4	2	50	29	6	Sb3	I	gaz
1220	NA	NA	228	38	NA	Sve	I	gaz

