MAT	CNE	NPN	CAT	CAS	CAI	ES	Ktot	AStot	DMM	D10	D90	CIS	TPR	VRG	FMG	RFESC
35.1	29.4	1.86	1265	404	119	9.75	8.97	49.88	158	232	107	5.06	9.30	6.97	145	54.6
27.8	23.4	1.89	1069	359	104	11.18	7.92	51.45	167	226	127	5.06	11.40	2.68	104	37.2
27.3	21.8	1.86	1208	499	114	10.64	10.88	49.32	183	257	133	5.92	8.40	3.32	89	42.4
30.1	24.6	2.14	1279	361	95	11.50	7.57	52.08	225	310	166	6.36	11.30	2.00	94	35.6
28.3	23.7	1.90	1161	394	119	10.83	10.04	49.40	159	215	120	5.67	5.80	3.75	108	39.8
27.5	23.5	2.03	1022	368	98	10.76	9.05	49.78	155	211	116	6.50	13.30	1.98	96	39.6
29.8	24.5	1.97	1046	341	95	10.08	8.82	46.55	164	222	125	5.82	11.00	2.70	105	38.7
34.8	28.1	1.46	994	390	116	11.32	8.97	50.48	171	235	127	7.35	8.30	3.33	113	43.4
27.1	22.7	2.71	1020	381	97	11.11	8.45	49.96	195	256	154	7.40	12.50	1.55	77	35.3
28.8	22.1	1.96	1199	516	106	11.15	6.93	53.36	166	227	125	8.39	8.60	1.95	74	35.3
35.0	26.8	2.03	1323	439	93	11.30	10.80	49.78	175	240	131	7.32	8.10	2.32	91	39.3
38.1	30.0	2.02	1368	395	92	11.81	8.13	51.57	191	270	137	5.07	8.60	3.68	121	42.0
33.6	28.1	2.15	1104	427	90	10.63	13.76	45.33	147	198	113	5.48	12.40	3.08	92	41.9
29.5	24.5	2.09	988	298	109	10.66	8.61	49.62	168	226	129	4.42	8.60	2.78	77	39.7
29.1	23.9	2.62	1316	491	115	11.05	8.77	54.02	201	276	149	6.32	7.10	2.05	65	38.5
34.3	26.4	1.68	1104	410	83	11.16	10.52	51.80	178	237	137	4.77	16.00	1.38	61	38.1
34.7	28.6	2.12	1160	390	89	11.62	12.60	49.77	150	195	120	5.58	17.20	3.37	119	42.4
34.2	27.9	2.19	1158	361	95	11.35	9.75	53.19	202	286	145	5.28	14.50	2.87	94	40.3
25.5	20.6	1.73	1007	398	82	10.77	8.92	52.67	187	259	141	6.37	13.90	0.89	42	31.9
32.3	26.7	1.71	1251	402	86	11.69	8.63	52.23	202	293	147	6.57	11.60	2.05	74	39.7
29.7	23.8	1.60	1232	416	110	11.21	9.60	53.18	209	290	154	5.79	10.40	1.93	61	37.4
36.8	31.7	2.06	1017	353	100	11.86	10.62	48.92	169	238	121	6.14	11.10	4.27	151	44.5
27.9	22.1	1.51	1053	362	101	10.91	9.25	51.12	200	273	150	6.32	12.70	0.91	42	34.0
36.2	30.7	1.70	1054	336	63	11.67	11.52	46.00	166	236	117	5.41	9.80	4.75	121	41.6
37.3	32.4	1.94	1192	370	97	11.96	10.20	49.35	159	223	115	7.40	11.60	3.93	129	42.8
32.2	26.6	1.74	942	332	116	11.25	8.65	52.17	183	257	130	5.60	17.80	0.58	59	36.8
26.9	22.3	1.53	1154	481	141	10.75	10.43	50.05	157	237	128	8.12	7.10	2.47	76	39.3
31.7	26.1	1.46	1238	427	145	11.41	7.60	54.08	164	216	130	7.25	11.30	2.30	88	39.1
28.1	23.6	1.57	1038	427	132	10.72	11.97	49.59	151	198	119	9.07	7.10	2.97	87	38.8
30.0	24.4	1.29	1072	434	144	11.09	7.29	49.22	194	251	138	8.99	10.60	1.88	79	39.1
24.0	18.8	1.27	1114	427	150	10.60	11.54	52.79	149	203	112	7.71	3.50	2.77	68	35.7
26.2	21.2	1.57	1103	355	99	10.80	9.42	51.07	166	221	128	4.70	5.57	2.37	133	40.0
35.0	27.1	1.47	1441	379	119	11.73	7.59	52.00	229	326	162	6.27	13.22	1.45	93	39.6
37.0	29.8	1.33	1097	353	92	11.53	12.04	49.74	165	227	122	5.61	7.79	5.52	179	43.7
33.4	27.3	1.47	1139	435	100	11.51	11.68	43.57	142	194	106	7.72	7.86	5.15	161	44.9
28.1	19.9	1.63	1003	362	74	10.39	11.79	53.22	181	258	128	6.03	32.85	0.20	14	26.4
35.8	29.9	2.43	1312	371	71	11.58	9.45	53.06	173	234	132	8.03	16.28	1.08	84	40.1
26.4	23.0	1.53	1093	399	82	11.13	9.27	50.20	164	227	120	8.70	8.73	2.04	126	37.8
14.8	12.1	1.12	1016	460	95	10.47	9.95	52.50	158	218	127	9.16	10.26	1.64	69	34.0
19.3	15.1	1.20	1146	453	112	10.81	8.29	51.86	161	217	122	8.50	4.72	3.06	90	37.2
25.8	20.0	1.06	1247	378	93	11.76	11.56	48.86	172	235	128	6.48	8.18	4.77	126	41.6

